https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ACM,Volume BTC,tradecount
1680825600000,2023-04-07,ACMBTC,9.15e-05,9.15e-05,9.04e-05,9.05e-05,1729.9,0.15684557,637
1680739200000,2023-04-06,ACMBTC,9.13e-05,9.25e-05,8.99e-05,9.13e-05,11790.8,1.07296231,2301
1680652800000,2023-04-05,ACMBTC,8.94e-05,9.18e-05,8.83e-05,9.15e-05,14445.0,1.29551385,796
1680566400000,2023-04-04,ACMBTC,9e-05,9.1e-05,8.93e-05,9e-05,6821.7,0.61387148,357
1680480000000,2023-04-03,ACMBTC,8.96e-05,9.21e-05,8.81e-05,9e-05,44636.1,4.02594574,741
1680393600000,2023-04-02,ACMBTC,8.88e-05,9.11e-05,8.8e-05,8.92e-05,28350.6,2.53637498,611
1680307200000,2023-04-01,ACMBTC,8.86e-05,8.96e-05,8.76e-05,8.82e-05,7700.1,0.68207543,373
1680220800000,2023-03-31,ACMBTC,9.08e-05,9.09e-05,8.78e-05,8.84e-05,16106.9,1.44068526,503
1680134400000,2023-03-30,ACMBTC,8.66e-05,9.33e-05,8.46e-05,9.07e-05,59394.0,5.31857863,1677
1680048000000,2023-03-29,ACMBTC,8.83e-05,8.85e-05,8.51e-05,8.66e-05,7822.3,0.67736839,345
1679961600000,2023-03-28,ACMBTC,8.74e-05,8.96e-05,8.72e-05,8.82e-05,9093.7,0.80597828,326
1679875200000,2023-03-27,ACMBTC,8.67e-05,8.89e-05,8.62e-05,8.72e-05,7197.6,0.62884222,435
1679788800000,2023-03-26,ACMBTC,8.8e-05,8.86e-05,8.64e-05,8.67e-05,8230.0,0.71959987,987
1679702400000,2023-03-25,ACMBTC,9.06e-05,9.08e-05,8.58e-05,8.82e-05,29956.5,2.65570135,591
1679616000000,2023-03-24,ACMBTC,8.64e-05,9.11e-05,8.45e-05,8.96e-05,14061.2,1.24668921,640
1679529600000,2023-03-23,ACMBTC,8.71e-05,8.89e-05,8.57e-05,8.61e-05,4158.2,0.36305957,304
1679443200000,2023-03-22,ACMBTC,8.76e-05,8.79e-05,8.33e-05,8.72e-05,12051.7,1.03512711,616
1679356800000,2023-03-21,ACMBTC,8.89e-05,8.92e-05,8.68e-05,8.7e-05,14961.1,1.31041999,295
1679270400000,2023-03-20,ACMBTC,9.09e-05,9.25e-05,8.79e-05,8.93e-05,11791.4,1.06120671,578
1679184000000,2023-03-19,ACMBTC,9.38e-05,9.57e-05,9.01e-05,9.01e-05,4962.0,0.46055458,379
1679097600000,2023-03-18,ACMBTC,9.44e-05,9.58e-05,9.29e-05,9.47e-05,6814.9,0.64364878,460
1679011200000,2023-03-17,ACMBTC,9.98e-05,9.98e-05,9.22e-05,9.42e-05,21813.1,2.10611945,629
1678924800000,2023-03-16,ACMBTC,0.0001022,0.0001023,9.94e-05,9.96e-05,3122.7,0.31406373,173
1678838400000,2023-03-15,ACMBTC,0.0001028,0.0001041,0.0001001,0.000102,23804.5,2.44729346,702
1678752000000,2023-03-14,ACMBTC,0.0001032,0.0001038,9.66e-05,0.0001024,23792.9,2.38930272,909
1678665600000,2023-03-13,ACMBTC,0.0001135,0.0001146,0.000102,0.0001025,18601.4,2.01047602,930
1678579200000,2023-03-12,ACMBTC,0.0001187,0.000119,0.0001127,0.0001136,14460.6,1.67582037,615
1678492800000,2023-03-11,ACMBTC,0.000121,0.000122,0.0001173,0.0001188,11256.2,1.33680667,757
1678406400000,2023-03-10,ACMBTC,0.0001188,0.0001228,0.0001171,0.0001211,14257.5,1.71102269,898
1678320000000,2023-03-09,ACMBTC,0.000118,0.0001206,0.0001157,0.0001188,33078.9,3.89552578,1086
1678233600000,2023-03-08,ACMBTC,0.0001167,0.0001229,0.0001154,0.0001176,25475.3,3.009318,2471
1678147200000,2023-03-07,ACMBTC,0.0001158,0.0001179,0.000114,0.0001167,9148.2,1.06133426,1672
1678060800000,2023-03-06,ACMBTC,0.0001147,0.0001162,0.0001133,0.0001157,5380.3,0.61610989,1285
1677974400000,2023-03-05,ACMBTC,0.0001151,0.0001187,0.0001144,0.0001145,5568.1,0.64623932,1173
