https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ACM,Volume BUSD,tradecount
1690243200000,2023-07-25,ACMBUSD,2.106,2.132,2.07,2.079,35587.4,74335.8594,567
1690156800000,2023-07-24,ACMBUSD,2.019,2.159,2.0,2.101,66987.5,139107.1523,1560
1690070400000,2023-07-23,ACMBUSD,2.009,2.134,1.978,2.015,86830.6,179223.98,1248
1689984000000,2023-07-22,ACMBUSD,1.954,2.018,1.951,2.009,21550.2,43074.5592,317
1689897600000,2023-07-21,ACMBUSD,1.944,1.994,1.927,1.956,21211.2,41715.021,454
1689811200000,2023-07-20,ACMBUSD,1.931,1.953,1.919,1.946,17294.3,33472.4332,462
1689724800000,2023-07-19,ACMBUSD,1.937,1.957,1.924,1.927,18025.4,35040.9932,394
1689638400000,2023-07-18,ACMBUSD,1.965,2.023,1.922,1.93,23856.8,46796.5303,390
1689552000000,2023-07-17,ACMBUSD,1.944,1.973,1.925,1.961,12022.7,23463.8876,340
1689465600000,2023-07-16,ACMBUSD,1.971,1.988,1.94,1.944,14313.0,28059.171,255
1689379200000,2023-07-15,ACMBUSD,1.976,2.008,1.954,1.971,23267.6,46173.6069,474
1689292800000,2023-07-14,ACMBUSD,2.009,2.019,1.924,1.972,17829.9,35379.949,444
1689206400000,2023-07-13,ACMBUSD,1.956,2.017,1.946,2.009,15578.4,30940.5289,453
1689120000000,2023-07-12,ACMBUSD,1.966,1.99,1.93,1.957,13904.6,27122.4186,381
1689033600000,2023-07-11,ACMBUSD,1.929,1.966,1.925,1.962,9526.9,18468.5223,196
1688947200000,2023-07-10,ACMBUSD,1.963,1.981,1.901,1.932,35825.0,69496.9932,788
1688860800000,2023-07-09,ACMBUSD,1.971,2.002,1.95,1.968,15975.1,31538.9483,322
1688774400000,2023-07-08,ACMBUSD,1.965,2.052,1.949,1.969,28962.4,57694.3113,793
1688688000000,2023-07-07,ACMBUSD,1.872,2.006,1.861,1.964,71817.9,140911.2476,1383
1688601600000,2023-07-06,ACMBUSD,1.886,1.935,1.865,1.894,23311.4,44288.9779,379
1688515200000,2023-07-05,ACMBUSD,1.942,1.975,1.88,1.889,24125.0,46076.1075,472
1688428800000,2023-07-04,ACMBUSD,1.942,1.998,1.925,1.944,17469.1,34076.1557,337
1688342400000,2023-07-03,ACMBUSD,1.919,1.968,1.914,1.943,6575.9,12805.0308,143
1688256000000,2023-07-02,ACMBUSD,1.938,1.945,1.88,1.919,9595.6,18320.8598,235
1688169600000,2023-07-01,ACMBUSD,1.901,1.943,1.876,1.933,12888.8,24485.1868,201
1688083200000,2023-06-30,ACMBUSD,1.857,1.917,1.808,1.895,34703.3,65387.2244,510
1687996800000,2023-06-29,ACMBUSD,1.875,1.891,1.85,1.86,9556.8,17896.9484,208
1687910400000,2023-06-28,ACMBUSD,1.925,1.933,1.83,1.869,43262.0,80768.8488,825
