https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BTC,tradecount
1754006400000,2025-08-01,ADABTC,0.00000638,0.00000647,0.00000617,0.00000631,4072351.1,25.67754546,9078
1753920000000,2025-07-31,ADABTC,0.00000647,0.00000665,0.00000637,0.0000064,2056742.0,13.36209588,5055
1753833600000,2025-07-30,ADABTC,0.00000663,0.00000669,0.0000063,0.00000648,3510663.5,22.78027596,7939
1753747200000,2025-07-29,ADABTC,0.00000671,0.00000681,0.00000658,0.00000664,2379946.3,15.91014526,5574
1753660800000,2025-07-28,ADABTC,0.00000697,0.00000716,0.00000668,0.00000671,4646716.5,32.13882518,10801
1753574400000,2025-07-27,ADABTC,0.00000695,0.00000709,0.00000689,0.00000696,3013723.0,20.99200716,6493
1753488000000,2025-07-26,ADABTC,0.00000694,0.0000071,0.00000692,0.00000695,1801183.7,12.62545284,5105
1753401600000,2025-07-25,ADABTC,0.00000681,0.00000702,0.00000673,0.00000694,5558000.7,38.21970677,11420
1753315200000,2025-07-24,ADABTC,0.00000687,0.00000702,0.0000065,0.0000068,11936844.4,81.24131162,18087
1753228800000,2025-07-23,ADABTC,0.00000753,0.00000753,0.0000067,0.00000687,10020557.1,70.00944153,17020
1753142400000,2025-07-22,ADABTC,0.00000757,0.00000773,0.00000725,0.00000753,8712425.9,64.97915043,16536
1753056000000,2025-07-21,ADABTC,0.00000732,0.00000787,0.00000719,0.00000757,11274788.0,85.3571977,28086
1752969600000,2025-07-20,ADABTC,0.00000704,0.00000743,0.00000699,0.00000731,6841974.8,49.63052466,12637
1752883200000,2025-07-19,ADABTC,0.00000692,0.00000708,0.00000681,0.00000704,3825272.0,26.64505113,7966
1752796800000,2025-07-18,ADABTC,0.00000691,0.00000745,0.00000682,0.00000691,14720226.8,104.94052334,24881
1752710400000,2025-07-17,ADABTC,0.00000644,0.00000701,0.00000628,0.00000688,11155014.7,75.01968333,20976
1752624000000,2025-07-16,ADABTC,0.00000635,0.00000655,0.00000624,0.00000644,4522265.3,28.80599817,10031
1752537600000,2025-07-15,ADABTC,0.00000613,0.00000637,0.00000606,0.00000634,5575489.6,34.65093585,9181
1752451200000,2025-07-14,ADABTC,0.00000619,0.00000637,0.00000604,0.00000614,4843527.8,30.07287008,11143
1752364800000,2025-07-13,ADABTC,0.00000604,0.00000635,0.00000601,0.00000619,5870660.8,36.52603296,11059
1752278400000,2025-07-12,ADABTC,0.00000604,0.00000626,0.00000588,0.00000604,4878122.4,29.72698338,11360
1752192000000,2025-07-11,ADABTC,0.00000584,0.00000659,0.00000579,0.00000604,15574646.7,96.91876629,24405
1752105600000,2025-07-10,ADABTC,0.0000056,0.00000586,0.00000556,0.00000584,4335798.9,24.81937987,7519
1752019200000,2025-07-09,ADABTC,0.00000541,0.00000567,0.00000537,0.0000056,3368633.6,18.72726505,6398
1751932800000,2025-07-08,ADABTC,0.00000536,0.00000543,0.00000529,0.0000054,1487403.4,7.98348843,2546
1751846400000,2025-07-07,ADABTC,0.00000537,0.00000545,0.00000532,0.00000536,1233375.5,6.63098326,3060
1751760000000,2025-07-06,ADABTC,0.00000532,0.00000542,0.00000528,0.00000536,1179284.8,6.31074816,2385
1751673600000,2025-07-05,ADABTC,0.0000053,0.00000539,0.00000527,0.00000532,914584.9,4.86614867,2240
1751587200000,2025-07-04,ADABTC,0.00000547,0.0000055,0.00000524,0.0000053,1593833.2,8.51753096,3164
1751500800000,2025-07-03,ADABTC,0.00000537,0.00000558,0.00000537,0.00000546,2316360.1,12.69504164,4354
1751414400000,2025-07-02,ADABTC,0.00000513,0.00000548,0.00000513,0.00000537,3990710.3,21.18222445,5381
1751328000000,2025-07-01,ADABTC,0.00000534,0.00000536,0.00000509,0.00000513,3283319.9,17.07270102,4926
1751241600000,2025-06-30,ADABTC,0.00000533,0.00000548,0.00000519,0.00000534,3817781.4,20.2352545,5650
1751155200000,2025-06-29,ADABTC,0.00000527,0.00000541,0.00000516,0.00000533,2752660.5,14.47061867,3715
1751068800000,2025-06-28,ADABTC,0.00000522,0.00000529,0.00000518,0.00000527,975519.0,5.10929547,1801
1750982400000,2025-06-27,ADABTC,0.00000518,0.00000523,0.00000511,0.00000522,1718315.2,8.89898983,3175
1750896000000,2025-06-26,ADABTC,0.00000528,0.00000537,0.00000514,0.00000518,1868831.0,9.76755504,3638
1750809600000,2025-06-25,ADABTC,0.00000554,0.00000554,0.00000525,0.00000528,2230148.2,12.0114559,4591
1750723200000,2025-06-24,ADABTC,0.00000553,0.00000563,0.0000055,0.00000554,2544639.2,14.12160464,5208
1750636800000,2025-06-23,ADABTC,0.00000537,0.00000555,0.0000053,0.00000553,4329602.2,23.3924453,8100
1750550400000,2025-06-22,ADABTC,0.00000545,0.00000547,0.00000519,0.00000536,6182229.5,32.7945948,13090
1750464000000,2025-06-21,ADABTC,0.00000559,0.00000568,0.00000539,0.00000544,2475269.8,13.65819857,5911
1750377600000,2025-06-20,ADABTC,0.00000576,0.00000576,0.00000548,0.00000559,2878127.2,16.13394242,5848
1750291200000,2025-06-19,ADABTC,0.00000576,0.00000582,0.00000567,0.00000575,1211296.4,6.94665528,2904
1750204800000,2025-06-18,ADABTC,0.00000583,0.00000589,0.00000565,0.00000575,3763822.0,21.7441928,6100
1750118400000,2025-06-17,ADABTC,0.0000059,0.00000596,0.00000578,0.00000583,2107760.9,12.3627093,4854
1750032000000,2025-06-16,ADABTC,0.000006,0.00000609,0.00000588,0.0000059,1538440.9,9.2677359,3980
1749945600000,2025-06-15,ADABTC,0.00000593,0.00000602,0.00000591,0.000006,1059524.3,6.32271048,2435
1749859200000,2025-06-14,ADABTC,0.00000605,0.00000607,0.00000588,0.00000593,1287790.8,7.70288554,3225
1749772800000,2025-06-13,ADABTC,0.00000625,0.00000627,0.00000599,0.00000605,4380710.0,26.74222069,8988
1749686400000,2025-06-12,ADABTC,0.00000642,0.00000644,0.00000621,0.00000625,2013996.6,12.74158526,3695
1749600000000,2025-06-11,ADABTC,0.0000065,0.00000665,0.00000639,0.00000643,3324114.8,21.79560862,6058
1749513600000,2025-06-10,ADABTC,0.0000064,0.00000655,0.00000628,0.0000065,2757522.5,17.74338514,5491
1749427200000,2025-06-09,ADABTC,0.00000634,0.00000642,0.00000621,0.00000639,1887549.4,11.89564967,3314
1749340800000,2025-06-08,ADABTC,0.00000629,0.00000641,0.0000062,0.00000634,2107253.3,13.28687339,3517
1749254400000,2025-06-07,ADABTC,0.00000628,0.00000638,0.00000625,0.00000629,1167448.7,7.37104236,2233
1749168000000,2025-06-06,ADABTC,0.00000616,0.0000064,0.00000614,0.00000628,2641187.2,16.53410624,4891
1749081600000,2025-06-05,ADABTC,0.00000636,0.00000653,0.00000614,0.00000617,3995407.6,25.24000421,7244
