https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BUSD,tradecount
1702512000000,2023-12-14,ADABUSD,0.6661,0.6779,0.6108,0.6442,1226973.9,792496.78895,3757
1702425600000,2023-12-13,ADABUSD,0.5728,0.676,0.5364,0.6654,2282504.3,1380405.99304,6484
1702339200000,2023-12-12,ADABUSD,0.5508,0.6056,0.5508,0.575,2253679.2,1301030.2711,6473
1702252800000,2023-12-11,ADABUSD,0.5957,0.5984,0.5156,0.5512,5774525.1,3192125.65141,13481
1702166400000,2023-12-10,ADABUSD,0.5798,0.6148,0.5695,0.5951,5485463.4,3255916.08338,13111
1702080000000,2023-12-09,ADABUSD,0.5459,0.6475,0.5445,0.5792,8185872.1,4910290.71714,24047
1701993600000,2023-12-08,ADABUSD,0.4557,0.5718,0.4523,0.5456,7794539.3,4060217.7655,18580
1701907200000,2023-12-07,ADABUSD,0.4434,0.4594,0.4315,0.4561,3680159.5,1644302.87519,6432
1701820800000,2023-12-06,ADABUSD,0.4257,0.455,0.4165,0.4428,5974460.9,2619917.59713,11579
1701734400000,2023-12-05,ADABUSD,0.4071,0.426,0.3972,0.4257,3310043.1,1369765.70305,5784
1701648000000,2023-12-04,ADABUSD,0.3952,0.4153,0.3918,0.4067,4857345.3,1963588.75155,7927
1701561600000,2023-12-03,ADABUSD,0.3977,0.403,0.388,0.395,1714741.9,677594.48624,3164
1701475200000,2023-12-02,ADABUSD,0.3845,0.3981,0.383,0.3978,1449026.8,565589.18673,2606
1701388800000,2023-12-01,ADABUSD,0.3757,0.3856,0.3738,0.3844,1441787.7,549559.58986,2444
1701302400000,2023-11-30,ADABUSD,0.3817,0.383,0.3721,0.3758,2757611.2,1034518.14963,3040
1701216000000,2023-11-29,ADABUSD,0.3857,0.3891,0.3778,0.3819,3088875.5,1186003.38401,4440
1701129600000,2023-11-28,ADABUSD,0.3777,0.3882,0.3693,0.3856,1868972.4,706808.71148,4170
