https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BLZ,Volume USDT,tradecount
1735084800000,2024-12-25,BLZUSDT,0.0562,0.065,0.0542,0.0582,50060194.0,2943729.579,14226
1734998400000,2024-12-24,BLZUSDT,0.0615,0.0665,0.0515,0.0563,235283671.0,13623212.0759,73532
1734912000000,2024-12-23,BLZUSDT,0.068,0.07,0.0484,0.0614,153515035.0,9272438.4082,73853
1734825600000,2024-12-22,BLZUSDT,0.0677,0.0754,0.0655,0.068,96397114.0,6761033.244,28736
1734739200000,2024-12-21,BLZUSDT,0.0751,0.0757,0.0654,0.0677,63493360.0,4433774.5678,22541
1734652800000,2024-12-20,BLZUSDT,0.071,0.082,0.0642,0.0751,187034412.0,13399429.8623,55815
1734566400000,2024-12-19,BLZUSDT,0.0679,0.0807,0.0606,0.071,450660480.0,31457087.2265,147578
1734480000000,2024-12-18,BLZUSDT,0.1296,0.1298,0.063,0.068,808456439.0,67665460.1397,403703
1734393600000,2024-12-17,BLZUSDT,0.1475,0.1481,0.1271,0.1294,29463326.0,4018361.0798,44489
1734307200000,2024-12-16,BLZUSDT,0.1574,0.1628,0.1457,0.1475,15814425.0,2445797.742,36919
1734220800000,2024-12-15,BLZUSDT,0.159,0.1614,0.1496,0.1573,16353840.0,2542580.609,32570
1734134400000,2024-12-14,BLZUSDT,0.1708,0.174,0.1554,0.1587,14793444.0,2443634.2945,33934
1734048000000,2024-12-13,BLZUSDT,0.1701,0.1728,0.1639,0.1708,13900654.0,2341684.0325,34793
1733961600000,2024-12-12,BLZUSDT,0.1635,0.1769,0.1619,0.17,12365677.0,2114156.7247,35956
1733875200000,2024-12-11,BLZUSDT,0.1471,0.1697,0.142,0.1635,20224214.0,3175294.02,38913
1733788800000,2024-12-10,BLZUSDT,0.1523,0.1556,0.1338,0.1471,39190532.0,5677635.7256,59008
1733702400000,2024-12-09,BLZUSDT,0.1993,0.2014,0.1238,0.1524,39530168.0,6462727.2036,77991
1733616000000,2024-12-08,BLZUSDT,0.1878,0.1999,0.1819,0.1993,12431210.0,2361630.9303,25164
1733529600000,2024-12-07,BLZUSDT,0.1922,0.1967,0.1872,0.1878,13001498.0,2496756.4029,24867
1733443200000,2024-12-06,BLZUSDT,0.181,0.1964,0.179,0.1926,16143206.0,3058179.5417,28514
1733356800000,2024-12-05,BLZUSDT,0.1819,0.1883,0.1719,0.1809,26813992.0,4883502.6007,52588
1733270400000,2024-12-04,BLZUSDT,0.1823,0.1895,0.1755,0.1822,27503886.0,5032396.6859,52546
1733184000000,2024-12-03,BLZUSDT,0.1612,0.1843,0.1595,0.1821,43223667.0,7401761.2836,72362
1733097600000,2024-12-02,BLZUSDT,0.1539,0.1612,0.1413,0.1612,20345459.0,3063681.5695,37668
1733011200000,2024-12-01,BLZUSDT,0.1546,0.1609,0.1491,0.154,14285794.0,2214357.9356,24923
1732924800000,2024-11-30,BLZUSDT,0.1461,0.1573,0.1433,0.1545,25858669.0,3908784.8536,51535
1732838400000,2024-11-29,BLZUSDT,0.1455,0.1469,0.1382,0.1461,12838543.0,1834069.0347,23491
1732752000000,2024-11-28,BLZUSDT,0.145,0.1473,0.1375,0.1456,27131618.0,3876610.7314,41823
